,normalized-losses,wheel-base,make,length,width,height,curb-weight,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
0,122.68571428571428,88.6,0.0,168.8,64.1,48.8,2548.0,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,13495.0
1,122.68571428571428,88.6,0.0,168.8,64.1,48.8,2548.0,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,16500.0
2,122.68571428571428,94.5,0.0,171.2,65.5,52.4,2823.0,2.68,3.47,9.0,154.0,5000.0,19.0,26.0,16500.0
3,164.0,99.8,1.0,176.6,66.2,54.3,2337.0,3.19,3.4,10.0,102.0,5500.0,24.0,30.0,13950.0
4,164.0,99.4,1.0,176.6,66.4,54.3,2824.0,3.19,3.4,8.0,115.0,5500.0,18.0,22.0,17450.0
5,122.68571428571428,99.8,1.0,177.3,66.3,53.1,2507.0,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,15250.0
6,158.0,105.8,1.0,192.7,71.4,55.7,2844.0,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,17710.0
7,122.68571428571428,105.8,1.0,192.7,71.4,55.7,2954.0,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,18920.0
8,188.0,101.2,2.0,176.8,64.8,54.3,2710.0,3.31,3.19,9.0,121.0,4250.0,21.0,28.0,20970.0
9,188.0,101.2,2.0,176.8,64.8,54.3,2765.0,3.31,3.19,9.0,121.0,4250.0,21.0,28.0,21105.0
10,122.68571428571428,103.5,2.0,189.0,66.9,55.7,3055.0,3.31,3.19,9.0,121.0,4250.0,20.0,25.0,24565.0
11,122.68571428571428,103.5,2.0,189.0,66.9,55.7,3230.0,3.62,3.39,8.0,182.0,5400.0,16.0,22.0,30760.0
12,122.68571428571428,103.5,2.0,193.8,67.9,53.7,3380.0,3.62,3.39,8.0,182.0,5400.0,16.0,22.0,41315.0
13,122.68571428571428,110.0,2.0,197.0,70.9,56.3,3505.0,3.62,3.39,8.0,182.0,5400.0,15.0,20.0,36880.0
14,121.0,88.4,3.0,141.1,60.3,53.2,1488.0,2.91,3.03,9.5,48.0,5100.0,47.0,53.0,5151.0
15,98.0,94.5,3.0,155.9,63.6,52.0,1874.0,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,6295.0
16,81.0,94.5,3.0,158.8,63.6,52.0,1909.0,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,6575.0
17,118.0,93.7,4.0,157.3,63.8,50.8,1876.0,2.97,3.23,9.41,68.0,5500.0,37.0,41.0,5572.0
18,118.0,93.7,4.0,157.3,63.8,50.8,1876.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6377.0
